id	perc_enrichment_study	perc_enrichment_pop	fold_enrichment_study2pop	study_count	study_n	pop_count	pop_n	p_uncorrected	p_benjamini_hochberg	description	ANs_study
......GO:0008187	0.2	0.1	2.00	2	1125	1	1125	1	1	poly-pyrimidine tract binding	P53725,Q05022
.......GO:0003841	0.2	0.1	2.00	2	1125	1	1125	1	1	1-acylglycerol-3-phosphate O-acyltransferase activity	P33333,Q06508
...GO:0070988	0.2	0.1	2.00	2	1125	1	1125	1	1	demethylation	P39956,Q03833
.....GO:0008615	0.2	0.1	2.00	2	1125	1	1125	1	1	pyridoxine biosynthetic process	P38075,Q12189
.....GO:0003994	0.2	0.1	2.00	2	1125	1	1125	1	1	aconitate hydratase activity	P19414,P39533
....GO:0042826	0.2	0.1	2.00	2	1125	1	1125	1	1	histone deacetylase binding	P14922,P16649
......GO:0042171	0.2	0.1	2.00	2	1125	1	1125	1	1	lysophosphatidic acid acyltransferase activity	P33333,Q06508
.........GO:0030819	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of cAMP biosynthetic process	P01120,P07278
.........GO:0030816	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of cAMP metabolic process	P01120,P07278
........GO:0030817	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of cAMP biosynthetic process	P01120,P07278
.......GO:0030810	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of nucleotide biosynthetic process	P01120,P07278
.....GO:0034553	0.2	0.1	2.00	2	1125	1	1125	1	1	mitochondrial respiratory chain complex II assembly	P38345,Q04401
.......GO:0034552	0.2	0.1	2.00	2	1125	1	1125	1	1	respiratory chain complex II assembly	P38345,Q04401
.....GO:0051988	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of attachment of spindle microtubules to kinetochore	P53168,P53267
...GO:1990267	0.2	0.1	2.00	2	1125	1	1125	1	1	response to transition metal nanoparticle	P40466,Q07540
....GO:0033859	0.2	0.1	2.00	2	1125	1	1125	1	1	furaldehyde metabolic process	P32771,Q04894
.....GO:0072686	0.2	0.1	2.00	2	1125	1	1125	1	1	mitotic spindle	P53168,P53267
......GO:0000301	0.2	0.1	2.00	2	1125	1	1125	1	1	retrograde transport, vesicle recycling within Golgi	P53079,Q06704
.....GO:0001207	0.2	0.1	2.00	2	1125	1	1125	1	1	histone displacement	P48570,Q08649
........GO:2000134	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of G1/S transition of mitotic cell cycle	P38891,Q07457
.....GO:0004794	0.2	0.1	2.00	2	1125	1	1125	1	1	L-threonine ammonia-lyase activity	P00927,P25379
.......GO:0010138	0.2	0.1	2.00	2	1125	1	1125	1	1	pyrimidine ribonucleotide salvage	P18562,Q12178
.....GO:0048188	0.2	0.1	2.00	2	1125	1	1125	1	1	Set1C/COMPASS complex	P38827,Q03012
.....GO:0004319	0.2	0.1	2.00	2	1125	1	1125	1	1	enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity	P07149,P38071
....GO:0070628	0.2	0.1	2.00	2	1125	1	1125	1	1	proteasome binding	P38779,P43583
.....GO:0003942	0.2	0.1	2.00	2	1125	1	1125	1	1	N-acetyl-gamma-glutamyl-phosphate reductase activity	P13663,Q01217
....GO:0051231	0.2	0.1	2.00	2	1125	1	1125	1	1	spindle elongation	P32504,P38833
....GO:0000412	0.2	0.1	2.00	2	1125	1	1125	1	1	histone peptidyl-prolyl isomerization	P38911,Q06205
....GO:0016706	0.2	0.1	2.00	2	1125	1	1125	1	1	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	P39956,Q03833
....GO:0008614	0.2	0.1	2.00	2	1125	1	1125	1	1	pyridoxine metabolic process	P38075,Q12189
......GO:0030808	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of nucleotide biosynthetic process	P01120,P07278
........GO:0030801	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of cyclic nucleotide metabolic process	P01120,P07278
.......GO:0030802	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of cyclic nucleotide biosynthetic process	P01120,P07278
.....GO:0000022	0.2	0.1	2.00	2	1125	1	1125	1	1	mitotic spindle elongation	P32504,P38833
.......GO:0009211	0.2	0.1	2.00	2	1125	1	1125	1	1	pyrimidine deoxyribonucleoside triphosphate metabolic process	P06785,P47119
.....GO:0015866	0.2	0.1	2.00	2	1125	1	1125	1	1	ADP transport	P04710,P18239
.....GO:0003689	0.2	0.1	2.00	2	1125	1	1125	1	1	DNA clamp loader activity	P38630,P40348
.....GO:0004410	0.2	0.1	2.00	2	1125	1	1125	1	1	homocitrate synthase activity	P48570,Q12122
.......GO:0044206	0.2	0.1	2.00	2	1125	1	1125	1	1	UMP salvage	P18562,Q12178
....GO:0043901	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of multi-organism process	P20134,P53860
......GO:0052655	0.2	0.1	2.00	2	1125	1	1125	1	1	L-valine transaminase activity	P38891,P47176
...GO:0070545	0.2	0.1	2.00	2	1125	1	1125	1	1	PeBoW complex	P53261,Q04660
.....GO:0031281	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of cyclase activity	P01120,P07278
........GO:0019464	0.2	0.1	2.00	2	1125	1	1125	1	1	glycine decarboxylation via glycine cleavage system	P39726,P49095
........GO:0042800	0.2	0.1	2.00	2	1125	1	1125	1	1	histone methyltransferase activity (H3-K4 specific)	P38827,Q03012
....GO:0000262	0.2	0.1	2.00	2	1125	1	1125	1	1	mitochondrial chromosome	P32787,Q02486
......GO:0008097	0.2	0.1	2.00	2	1125	1	1125	1	1	5S rRNA binding	P26321,P36160
......GO:0032872	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of stress-activated MAPK cascade	P06101,P25357
....GO:0044744	0.2	0.1	2.00	2	1125	1	1125	1	1	protein targeting to nucleus	P32499,P49687
....GO:0032878	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of establishment or maintenance of cell polarity	P17157,P47008
.....GO:0016748	0.2	0.1	2.00	2	1125	1	1125	1	1	succinyltransferase activity	P09950,P19262
......GO:0015301	0.2	0.1	2.00	2	1125	1	1125	1	1	anion:anion antiporter activity	P04710,P18239
.........GO:0010674	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of transcription from RNA polymerase II promoter during meiosis	P39001,Q12363
....GO:0016717	0.2	0.1	2.00	2	1125	1	1125	1	1	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	P21147,P32353
...GO:0000940	0.2	0.1	2.00	2	1125	1	1125	1	1	condensed chromosome outer kinetochore	P53168,P53267
....GO:0036297	0.2	0.1	2.00	2	1125	1	1125	1	1	interstrand cross-link repair	P32787,P40562
...GO:0000439	0.2	0.1	2.00	2	1125	1	1125	1	1	core TFIIH complex	P32776,Q04673
.....GO:0045761	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of adenylate cyclase activity	P01120,P07278
......GO:0045762	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of adenylate cyclase activity	P01120,P07278
.........GO:0071031	0.2	0.1	2.00	2	1125	1	1125	1	1	nuclear mRNA surveillance of mRNA 3'-end processing	P47047,P53725
.......GO:0034227	0.2	0.1	2.00	2	1125	1	1125	1	1	tRNA thio-modification	P25374,Q08686
....GO:0046451	0.2	0.1	2.00	2	1125	1	1125	1	1	diaminopimelate metabolic process	P10869,P13663
.....GO:0033833	0.2	0.1	2.00	2	1125	1	1125	1	1	hydroxymethylfurfural reductase (NADH) activity	P32771,Q04894
....GO:0072542	0.2	0.1	2.00	2	1125	1	1125	1	1	protein phosphatase activator activity	P36047,P41895
.......GO:0031119	0.2	0.1	2.00	2	1125	1	1125	1	1	tRNA pseudouridine synthesis	Q08647,Q12211
.....GO:0031415	0.2	0.1	2.00	2	1125	1	1125	1	1	NatA complex	P12945,Q08689
....GO:0051094	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of developmental process	P22082,P32591
....GO:0042819	0.2	0.1	2.00	2	1125	1	1125	1	1	vitamin B6 biosynthetic process	P38075,Q12189
.......GO:0035241	0.2	0.1	2.00	2	1125	1	1125	1	1	protein-arginine omega-N monomethyltransferase activity	P38074,Q12314
.......GO:0032041	0.2	0.1	2.00	2	1125	1	1125	1	1	NAD-dependent histone deacetylase activity (H3-K14 specific)	P32561,P53973
..........GO:0000433	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of transcription from RNA polymerase II promoter by glucose	P16649,P23615
.........GO:0000430	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of transcription from RNA polymerase II promoter by glucose	P16649,P23615
.........GO:0000437	0.2	0.1	2.00	2	1125	1	1125	1	1	carbon catabolite repression of transcription from RNA polymerase II promoter	P16649,P23615
....GO:0000942	0.2	0.1	2.00	2	1125	1	1125	1	1	condensed nuclear chromosome outer kinetochore	P53168,P53267
...GO:0034457	0.2	0.1	2.00	2	1125	1	1125	1	1	Mpp10 complex	P47083,P53941
.......GO:2000531	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of fatty acid biosynthetic process by regulation of transcription from RNA polymerase II promoter	P14922,P16649
......GO:0071049	0.2	0.1	2.00	2	1125	1	1125	1	1	nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription	P47047,Q12149
.....GO:0043335	0.2	0.1	2.00	2	1125	1	1125	1	1	protein unfolding	P31539,P33416
.......GO:0010507	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of autophagy	P17157,P35169
......GO:0001094	0.2	0.1	2.00	2	1125	1	1125	1	1	TFIID-class transcription factor binding	P07248,P35817
....GO:0035097	0.2	0.1	2.00	2	1125	1	1125	1	1	histone methyltransferase complex	P38827,Q03012
...GO:0005346	0.2	0.1	2.00	2	1125	1	1125	1	1	purine ribonucleotide transmembrane transporter activity	P04710,P18239
....GO:0005347	0.2	0.1	2.00	2	1125	1	1125	1	1	ATP transmembrane transporter activity	P04710,P18239
.......GO:0006436	0.2	0.1	2.00	2	1125	1	1125	1	1	tryptophanyl-tRNA aminoacylation	P04803,Q12109
....GO:0004329	0.2	0.1	2.00	2	1125	1	1125	1	1	formate-tetrahydrofolate ligase activity	P07245,P09440
......GO:0000121	0.2	0.1	2.00	2	1125	1	1125	1	1	glycerol-1-phosphatase activity	P40106,P41277
......GO:0010676	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of cellular carbohydrate metabolic process	P17106,P31385
.....GO:0070932	0.2	0.1	2.00	2	1125	1	1125	1	1	histone H3 deacetylation	P32561,P53973
.....GO:0031032	0.2	0.1	2.00	2	1125	1	1125	1	1	actomyosin structure organization	P53141,P53927
......GO:0055092	0.2	0.1	2.00	2	1125	1	1125	1	1	sterol homeostasis	P39986,Q02201
......GO:0032212	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of telomere maintenance via telomerase	P02829,P28707
...GO:0017087	0.2	0.1	2.00	2	1125	1	1125	1	1	mitochondrial processing peptidase complex	P10507,P11914
....GO:0000446	0.2	0.1	2.00	2	1125	1	1125	1	1	nucleoplasmic THO complex	P17629,P53552
....GO:0000445	0.2	0.1	2.00	2	1125	1	1125	1	1	THO complex part of transcription export complex	P17629,P53552
....GO:0015645	0.2	0.1	2.00	2	1125	1	1125	1	1	fatty acid ligase activity	P30624,P39002
....GO:0098501	0.2	0.1	2.00	2	1125	1	1125	1	1	polynucleotide dephosphorylation	O13297,P26793
....GO:0016208	0.2	0.1	2.00	2	1125	1	1125	1	1	AMP binding	P52910,Q01574
....GO:0016812	0.2	0.1	2.00	2	1125	1	1125	1	1	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides	P20051,P28273
.....GO:0071617	0.2	0.1	2.00	2	1125	1	1125	1	1	lysophospholipid acyltransferase activity	P33333,Q06508
......GO:1901072	0.2	0.1	2.00	2	1125	1	1125	1	1	glucosamine-containing compound catabolic process	Q06350,Q12114
......GO:0044783	0.2	0.1	2.00	2	1125	1	1125	1	1	G1 DNA damage checkpoint	P38891,Q07457
.......GO:0035247	0.2	0.1	2.00	2	1125	1	1125	1	1	peptidyl-arginine omega-N-methylation	P38074,Q12314
....GO:0000229	0.2	0.1	2.00	2	1125	1	1125	1	1	cytoplasmic chromosome	P32787,Q02486
.......GO:0006424	0.2	0.1	2.00	2	1125	1	1125	1	1	glutamyl-tRNA aminoacylation	P46655,P48525
.....GO:0001089	0.2	0.1	2.00	2	1125	1	1125	1	1	TFIIF-class binding transcription factor activity	P38351,Q06697
....GO:0030544	0.2	0.1	2.00	2	1125	1	1125	1	1	Hsp70 protein binding	P15705,P33313
.......GO:2001247	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of phosphatidylcholine biosynthetic process	P31385,P39001
.......GO:2001246	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of phosphatidylcholine biosynthetic process	P24280,P31385
......GO:0045142	0.2	0.1	2.00	2	1125	1	1125	1	1	triplex DNA binding	P39015,P89105
.....GO:0032790	0.2	0.1	2.00	2	1125	1	1125	1	1	ribosome disassembly	P33309,Q03195
......GO:0006032	0.2	0.1	2.00	2	1125	1	1125	1	1	chitin catabolic process	Q06350,Q12114
.....GO:0009089	0.2	0.1	2.00	2	1125	1	1125	1	1	lysine biosynthetic process via diaminopimelate	P10869,P13663
....GO:0016841	0.2	0.1	2.00	2	1125	1	1125	1	1	ammonia-lyase activity	P00927,P25379
.....GO:0043596	0.2	0.1	2.00	2	1125	1	1125	1	1	nuclear replication fork	P25588,Q01454
......GO:0004775	0.2	0.1	2.00	2	1125	1	1125	1	1	succinate-CoA ligase (ADP-forming) activity	P53312,P53598
.....GO:0051984	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of chromosome segregation	P53168,P53267
.......GO:0008266	0.2	0.1	2.00	2	1125	1	1125	1	1	poly(U) RNA binding	P53725,Q05022
...GO:0070482	0.2	0.1	2.00	2	1125	1	1125	1	1	response to oxygen levels	P32614,P33417
......GO:0097056	0.2	0.1	2.00	2	1125	1	1125	1	1	selenocysteinyl-tRNA(Sec) biosynthetic process	P07284,P38705
.....GO:0032206	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of telomere maintenance	P02829,P28707
.....GO:0051349	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of lyase activity	P01120,P07278
....GO:0032846	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of homeostatic process	P02829,P28707
....GO:0000112	0.2	0.1	2.00	2	1125	1	1125	1	1	nucleotide-excision repair factor 3 complex	P32776,Q04673
....GO:0019401	0.2	0.1	2.00	2	1125	1	1125	1	1	alditol biosynthetic process	P40106,P41277
.......GO:0050686	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of mRNA processing	P14120,P42073
.........GO:0034473	0.2	0.1	2.00	2	1125	1	1125	1	1	U1 snRNA 3'-end processing	Q02555,Q12149
......GO:0016274	0.2	0.1	2.00	2	1125	1	1125	1	1	protein-arginine N-methyltransferase activity	P38074,Q12314
......GO:0016273	0.2	0.1	2.00	2	1125	1	1125	1	1	arginine N-methyltransferase activity	P38074,Q12314
..........GO:0033170	0.2	0.1	2.00	2	1125	1	1125	1	1	protein-DNA loading ATPase activity	P38630,P40348
.....GO:0000321	0.2	0.1	2.00	2	1125	1	1125	1	1	re-entry into mitotic cell cycle after pheromone arrest	Q05040,Q3E705
....GO:0000320	0.2	0.1	2.00	2	1125	1	1125	1	1	re-entry into mitotic cell cycle	Q05040,Q3E705
....GO:0015833	0.2	0.1	2.00	2	1125	1	1125	1	1	peptide transport	P32901,P43583
......GO:0060567	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of DNA-templated transcription, termination	P38074,Q01560
.......GO:0030799	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of cyclic nucleotide metabolic process	P01120,P07278
...GO:0061617	0.2	0.1	2.00	2	1125	1	1125	1	1	MICOS complex	P36112,P43594
.....GO:0036228	0.2	0.1	2.00	2	1125	1	1125	1	1	protein targeting to nuclear inner membrane	P32499,P49687
......GO:2000282	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of cellular amino acid biosynthetic process	P31385,P39001
....GO:0090153	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of sphingolipid biosynthetic process	P17106,P35169
.........GO:0044208	0.2	0.1	2.00	2	1125	1	1125	1	1	'de novo' AMP biosynthetic process	P80210,Q05911
.......GO:0018195	0.2	0.1	2.00	2	1125	1	1125	1	1	peptidyl-arginine modification	P38074,Q12314
.......GO:0032785	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of DNA-templated transcription, elongation	P27692,P40466
.....GO:0004774	0.2	0.1	2.00	2	1125	1	1125	1	1	succinate-CoA ligase activity	P53312,P53598
.........GO:0000464	0.2	0.1	2.00	2	1125	1	1125	1	1	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	P20447,Q05022
.....GO:0000915	0.2	0.1	2.00	2	1125	1	1125	1	1	actomyosin contractile ring assembly	P53141,P53927
...GO:0032300	0.2	0.1	2.00	2	1125	1	1125	1	1	mismatch repair complex	P11632,P38920
......GO:0051457	0.2	0.1	2.00	2	1125	1	1125	1	1	maintenance of protein location in nucleus	P36047,Q12363
...GO:0005663	0.2	0.1	2.00	2	1125	1	1125	1	1	DNA replication factor C complex	P38630,P40348
....GO:0071453	0.2	0.1	2.00	2	1125	1	1125	1	1	cellular response to oxygen levels	P32614,P33417
..GO:0032451	0.2	0.1	2.00	2	1125	1	1125	1	1	demethylase activity	P39956,Q03833
....GO:0009743	0.2	0.1	2.00	2	1125	1	1125	1	1	response to carbohydrate	P23292,P41696
........GO:0030814	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of cAMP metabolic process	P01120,P07278
.....GO:0006104	0.2	0.1	2.00	2	1125	1	1125	1	1	succinyl-CoA metabolic process	P53312,P53598
..GO:0044453	0.2	0.1	2.00	2	1125	1	1125	1	1	nuclear membrane part	Q03281,Q03707
......GO:0017136	0.2	0.1	2.00	2	1125	1	1125	1	1	NAD-dependent histone deacetylase activity	P32561,P53973
.......GO:0006532	0.2	0.1	2.00	2	1125	1	1125	1	1	aspartate biosynthetic process	P23542,Q01802
........GO:0045947	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of translational initiation	P38431,P45978
....GO:0042743	0.2	0.1	2.00	2	1125	1	1125	1	1	hydrogen peroxide metabolic process	P06115,P09624
.......GO:0006538	0.2	0.1	2.00	2	1125	1	1125	1	1	glutamate catabolic process	P33327,Q04792
.......GO:0001195	0.2	0.1	2.00	2	1125	1	1125	1	1	maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase III promoter	P11632,P11633
......GO:0004427	0.2	0.1	2.00	2	1125	1	1125	1	1	inorganic diphosphatase activity	P00817,P28239
.....GO:0051987	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of attachment of spindle microtubules to kinetochore	P53168,P53267
.....GO:0018216	0.2	0.1	2.00	2	1125	1	1125	1	1	peptidyl-arginine methylation	P38074,Q12314
....GO:0000710	0.2	0.1	2.00	2	1125	1	1125	1	1	meiotic mismatch repair	P15873,P38920
...GO:0043529	0.2	0.1	2.00	2	1125	1	1125	1	1	GET complex	P53192,Q12154
....GO:0009328	0.2	0.1	2.00	2	1125	1	1125	1	1	phenylalanine-tRNA ligase complex	P15624,P15625
.......GO:0033979	0.2	0.1	2.00	2	1125	1	1125	1	1	box H/ACA snoRNA metabolic process	P33322,Q02555
......GO:1903727	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of phospholipid metabolic process	P31385,P39001
......GO:0006627	0.2	0.1	2.00	2	1125	1	1125	1	1	protein processing involved in protein targeting to mitochondrion	P10507,P11914
......GO:0016411	0.2	0.1	2.00	2	1125	1	1125	1	1	acylglycerol O-acyltransferase activity	P33333,Q06508
....GO:0016320	0.2	0.1	2.00	2	1125	1	1125	1	1	endoplasmic reticulum membrane fusion	P25694,Q99287
...GO:0097002	0.2	0.1	2.00	2	1125	1	1125	1	1	mitochondrial inner boundary membrane	P39925,P39952
.....GO:0097271	0.2	0.1	2.00	2	1125	1	1125	1	1	protein localization to bud neck	P01120,P07278
......GO:0035246	0.2	0.1	2.00	2	1125	1	1125	1	1	peptidyl-arginine N-methylation	P38074,Q12314
.......GO:0010950	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of endopeptidase activity	P22141,P25451
...GO:0097344	0.2	0.1	2.00	2	1125	1	1125	1	1	Rix1 complex	P38803,P38883
....GO:0016898	0.2	0.1	2.00	2	1125	1	1125	1	1	oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor	P39976,P46681
.......GO:0018024	0.2	0.1	2.00	2	1125	1	1125	1	1	histone-lysine N-methyltransferase activity	P38827,Q03012
......GO:0003937	0.2	0.1	2.00	2	1125	1	1125	1	1	IMP cyclohydrolase activity	P38009,P54113
....GO:0000706	0.2	0.1	2.00	2	1125	1	1125	1	1	meiotic DNA double-strand break processing	P35187,P38859
...GO:0018444	0.2	0.1	2.00	2	1125	1	1125	1	1	translation release factor complex	P05453,P12385
.....GO:0032368	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of lipid transport	P40075,Q05958
....GO:0051339	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of lyase activity	P01120,P07278
.....GO:0070302	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of stress-activated protein kinase signaling cascade	P06101,P25357
.....GO:0047536	0.2	0.1	2.00	2	1125	1	1125	1	1	2-aminoadipate transaminase activity	P47039,P53090
......GO:0034402	0.2	0.1	2.00	2	1125	1	1125	1	1	recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex	P53064,Q06697
...GO:0000347	0.2	0.1	2.00	2	1125	1	1125	1	1	THO complex	P17629,P53552
....GO:0061133	0.2	0.1	2.00	2	1125	1	1125	1	1	endopeptidase activator activity	P22141,P25451
.....GO:0006556	0.2	0.1	2.00	2	1125	1	1125	1	1	S-adenosylmethionine biosynthetic process	P10659,P19358
......GO:0031055	0.2	0.1	2.00	2	1125	1	1125	1	1	chromatin remodeling at centromere	P06786,P32597
......GO:0031057	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of histone modification	P32657,Q06205
.......GO:0045981	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of nucleotide metabolic process	P01120,P07278
....GO:0031279	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of cyclase activity	P01120,P07278
.....GO:0033523	0.2	0.1	2.00	2	1125	1	1125	1	1	histone H2B ubiquitination	P32447,P32657
......GO:0004828	0.2	0.1	2.00	2	1125	1	1125	1	1	serine-tRNA ligase activity	P07284,P38705
......GO:0032262	0.2	0.1	2.00	2	1125	1	1125	1	1	pyrimidine nucleotide salvage	P18562,Q12178
....GO:0051100	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of binding	P28707,P29056
.....GO:0034982	0.2	0.1	2.00	2	1125	1	1125	1	1	mitochondrial protein processing	P10507,P11914
.......GO:0016888	0.2	0.1	2.00	2	1125	1	1125	1	1	endodeoxyribonuclease activity, producing 5'-phosphomonoesters	P26793,P38859
.....GO:0004739	0.2	0.1	2.00	2	1125	1	1125	1	1	pyruvate dehydrogenase (acetyl-transferring) activity	P16387,P32473
..GO:0034098	0.2	0.1	2.00	2	1125	1	1125	1	1	VCP-NPL4-UFD1 AAA ATPase complex	P25694,P53044
.....GO:0004049	0.2	0.1	2.00	2	1125	1	1125	1	1	anthranilate synthase activity	P00899,P00937
....GO:0036293	0.2	0.1	2.00	2	1125	1	1125	1	1	response to decreased oxygen levels	P32614,P33417
.....GO:0036294	0.2	0.1	2.00	2	1125	1	1125	1	1	cellular response to decreased oxygen levels	P32614,P33417
......GO:0004818	0.2	0.1	2.00	2	1125	1	1125	1	1	glutamate-tRNA ligase activity	P46655,P48525
....GO:0090579	0.2	0.1	2.00	2	1125	1	1125	1	1	dsDNA loop formation	Q02455,Q03973
......GO:0042304	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of fatty acid biosynthetic process	P14922,P16649
........GO:0034964	0.2	0.1	2.00	2	1125	1	1125	1	1	box H/ACA snoRNA processing	P33322,Q02555
....GO:0032979	0.2	0.1	2.00	2	1125	1	1125	1	1	protein insertion into mitochondrial membrane from inner side	P38300,P39952
......GO:0032978	0.2	0.1	2.00	2	1125	1	1125	1	1	protein insertion into membrane from inner side	P38300,P39952
......GO:0043097	0.2	0.1	2.00	2	1125	1	1125	1	1	pyrimidine nucleoside salvage	P18562,Q12178
..GO:0070469	0.2	0.1	2.00	2	1125	1	1125	1	1	respiratory chain	P00044,P32463
...GO:0097255	0.2	0.1	2.00	2	1125	1	1125	1	1	R2TP complex	P38768,Q03940
.......GO:0016435	0.2	0.1	2.00	2	1125	1	1125	1	1	rRNA (guanine) methyltransferase activity	P25582,P25627
......GO:0035952	0.2	0.1	2.00	2	1125	1	1125	1	1	negative regulation of oligopeptide transport by negative regulation of transcription from RNA polymerase II promoter	P14922,P16649
.......GO:0006434	0.2	0.1	2.00	2	1125	1	1125	1	1	seryl-tRNA aminoacylation	P07284,P38705
.........GO:0043139	0.2	0.1	2.00	2	1125	1	1125	1	1	5'-3' DNA helicase activity	P38859,Q03940
.....GO:0036265	0.2	0.1	2.00	2	1125	1	1125	1	1	RNA (guanine-N7)-methylation	P25627,Q03774
......GO:0004830	0.2	0.1	2.00	2	1125	1	1125	1	1	tryptophan-tRNA ligase activity	P04803,Q12109
.....GO:0019563	0.2	0.1	2.00	2	1125	1	1125	1	1	glycerol catabolic process	P32190,P54838
.....GO:0003938	0.2	0.1	2.00	2	1125	1	1125	1	1	IMP dehydrogenase activity	P50094,P50095
.......GO:0060188	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of protein desumoylation	P39705,Q03790
........GO:1900544	0.2	0.1	2.00	2	1125	1	1125	1	1	positive regulation of purine nucleotide metabolic process	P01120,P07278
.....GO:0034979	0.2	0.1	2.00	2	1125	1	1125	1	1	NAD-dependent protein deacetylase activity	P32561,P53973
....GO:0010992	0.2	0.1	2.00	2	1125	1	1125	1	1	ubiquitin homeostasis	P32571,Q01476
.......GO:0035950	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of oligopeptide transport by regulation of transcription from RNA polymerase II promoter	P14922,P16649
........GO:0035953	0.2	0.1	2.00	2	1125	1	1125	1	1	regulation of dipeptide transport by regulation of transcription from RNA polymerase II promoter	P14922,P16649
.....GO:0065004	2.9	1.5	1.94	33	1125	17	1125	0.0309	0.814	protein-DNA complex assembly	P02309,P06778,P11632,P11633,P13393,P13712,P19659,P23255,P23615,P29055,P29056,P32447,P32558,P34730,P35189,P38129,P38803,P38883,P38911,P40161,P41895,P41896,P46678,P50105,P53040,P53551,Q01448,Q03750,Q03761,Q04226,Q05021,Q06205,Q12495
......GO:0031123	2.8	1.4	1.94	31	1125	16	1125	0.0379	0.962	RNA 3'-end processing	P15646,P17629,P21269,P29468,P33322,P38351,P38801,P38996,P39927,P40466,P42073,P45976,P47047,P48240,P53064,P53297,P53552,P53617,P53725,P89105,Q00416,Q01329,Q02555,Q05543,Q06224,Q06697,Q07478,Q08162,Q12149,Q3E754,Q99383
