# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr	ANs_study	ANs_pop
GO:0005516	p	calmodulin binding	4/1159	4/1159	1	2.57e+03	1.87e+03	2.51e+03	n.a.	P11484,P17891,P32589,P32590	P11484,P14747,P17891,P19524,P22517,P23287,P27466,P32492,P32589,P32590,P38623
GO:0005524	e	ATP binding	195/1159	160/1159	0.0498	128	126	125	n.a.	P00498,P00549,P00560,P00815,P00830,P00958,P02829,P03965,P04801,P04802,P04803,P04806,P04807,P05030,P06634,P06786,P07170,P07244,P07245,P07251,P07259,P07263,P07284,P07806,P08566,P09435,P09436,P09440,P0C2I9,P10081,P10591,P10592,P10659,P10869,P11484,P12612,P13188,P13587,P14682,P15108,P15180,P15424,P15454,P15624,P15625,P15700,P15731,P15790,P16140,P16474,P16521,P16550,P16861,P16862,P17157,P17255,P17423,P17709,P19358,P19454,P19882,P20095,P20447,P20448,P20449,P21269,P21373,P21965,P22082,P22515,P23292,P23293,P24384,P24783,P25371,P25491,P25694,P26637,P27616,P28263,P28273,P28274,P29295,P29468,P30624,P31412,P31539,P32190,P32264,P32288,P32327,P32377,P32589,P32590,P32597,P32639,P32657,P32892,P33297,P33298,P33299,P33302,P33416,P35169,P35187,P35191,P36009,P36010,P36059,P36421,P36775,P38086,P38088,P38112,P38144,P38219,P38625,P38630,P38689,P38705,P38707,P38708,P38788,P38859,P38910,P38920,P38972,P39002,P39073,P39077,P39078,P39079,P39109,P39517,P39925,P39986,P40024,P40151,P40160,P40327,P40348,P40413,P40562,P40825,P41896,P42938,P43535,P46655,P47037,P47047,P47079,P47117,P47143,P48525,P49089,P51979,P52488,P52910,P53312,P53549,P53598,P53852,P53914,P54838,P60010,Q00416,Q00955,Q01163,Q01217,Q01389,Q01574,Q01852,Q01939,Q02159,Q02196,Q03195,Q03434,Q03532,Q03940,Q04217,Q04409,Q04500,Q05471,Q05506,Q06178,Q06218,Q06685,Q07478,Q08965,Q08972,Q12109,Q12154,Q12265,Q12389,Q12472	O13535,P00498,P00546,P00549,P00560,P00572,P00815,P00830,P00958,P02829,P03965,P04801,P04802,P04803,P04806,P04807,P04819,P05030,P05986,P06104,P06242,P06243,P06244,P06245,P06634,P06782,P06784,P06786,P06839,P07170,P07236,P07244,P07245,P07250,P07251,P07258,P07259,P07263,P07271,P07277,P07284,P07806,P07884,P08018,P08425,P08458,P08536,P08566,P08678,P08964,P09435,P09436,P09440,P09880,P0C2I6,P0C2I9,P0C2J0,P0C2J1,P0CX14,P0CX63,P10081,P10363,P10591,P10592,P10659,P10869,P10963,P11154,P11325,P11484,P11792,P12612,P12688,P12753,P12866,P12904,P12954,P13045,P13185,P13186,P13188,P13586,P13587,P14242,P14680,P14681,P14682,P14772,P15108,P15179,P15180,P15424,P15442,P15454,P15624,P15625,P15700,P15731,P15732,P15790,P15938,P16140,P16474,P16521,P16550,P16861,P16862,P16892,P17119,P17157,P17255,P17423,P17709,P18759,P18961,P19358,P19454,P19524,P19657,P19882,P20095,P20447,P20448,P20449,P20485,P20795,P21264,P21269,P21372,P21373,P21524,P21672,P21734,P21965,P22082,P22108,P22202,P22204,P22209,P22211,P22216,P22219,P22438,P22515,P22517,P22543,P22768,P23291,P23292,P23293,P23394,P23561,P24004,P24279,P24384,P24521,P24583,P24783,P24784,P25332,P25333,P25336,P25341,P25345,P25371,P25389,P25454,P25491,P25576,P25578,P25694,P25808,P25846,P25847,P26637,P27466,P27515,P27616,P27636,P27697,P27895,P28263,P28273,P28274,P28708,P28737,P28742,P29295,P29340,P29468,P29469,P29496,P30624,P30665,P30771,P31374,P31380,P31412,P31539,P32048,P32190,P32264,P32288,P32317,P32327,P32328,P32333,P32350,P32364,P32377,P32381,P32386,P32477,P32485,P32490,P32491,P32492,P32528,P32568,P32579,P32580,P32589,P32590,P32597,P32600,P32604,P32622,P32639,P32644,P32657,P32660,P32794,P32795,P32801,P32807,P32839,P32849,P32874,P32892,P32895,P32908,P33296,P33297,P33298,P33299,P33302,P33310,P33311,P33416,P33760,P33893,P34230,P34243,P34244,P34253,P34756,P35169,P35187,P35191,P35202,P35207,P36002,P36003,P36004,P36006,P36009,P36010,P36016,P36022,P36041,P36059,P36077,P36101,P36102,P36120,P36421,P36775,P37297,P38063,P38070,P38080,P38086,P38088,P38111,P38112,P38132,P38144,P38147,P38219,P38228,P38251,P38323,P38615,P38620,P38623,P38625,P38627,P38629,P38630,P38689,P38690,P38691,P38692,P38705,P38707,P38708,P38712,P38714,P38719,P38735,P38746,P38756,P38766,P38788,P38795,P38820,P38859,P38910,P38913,P38920,P38929,P38970,P38972,P38989,P38990,P38994,P38995,P39002,P39009,P39073,P39076,P39077,P39078,P39079,P39104,P39109,P39517,P39518,P39524,P39925,P39928,P39955,P39962,P39965,P39986,P39988,P40009,P40024,P40099,P40150,P40151,P40160,P40327,P40328,P40339,P40340,P40341,P40348,P40413,P40416,P40433,P40459,P40494,P40527,P40530,P40558,P40562,P40825,P41835,P41896,P41909,P42826,P42938,P42943,P43535,P43565,P43568,P43569,P43591,P43610,P43633,P45818,P46655,P47024,P47037,P47042,P47047,P47051,P47069,P47079,P47098,P47100,P47112,P47116,P47117,P47143,P47159,P47912,P48445,P48525,P48526,P48527,P48562,P49089,P49090,P49956,P50623,P50873,P50874,P52488,P52489,P52490,P52491,P52910,P52917,P52920,P53009,P53049,P53086,P53091,P53104,P53115,P53131,P53166,P53170,P53204,P53260,P53312,P53323,P53327,P53332,P53549,P53598,P53599,P53727,P53729,P53734,P53739,P53848,P53852,P53894,P53914,P53915,P53960,P53974,P53978,P54838,P60010,Q00416,Q00578,Q00772,Q00955,Q01163,Q01217,Q01389,Q01574,Q01852,Q01896,Q01919,Q01939,Q02159,Q02196,Q02785,Q03002,Q03195,Q03306,Q03407,Q03434,Q03497,Q03532,Q03533,Q03557,Q03656,Q03764,Q03778,Q03785,Q03786,Q03834,Q03940,Q03941,Q03957,Q04182,Q04214,Q04217,Q04409,Q04430,Q04437,Q04439,Q04500,Q04670,Q05506,Q05549,Q05924,Q05931,Q06137,Q06147,Q06178,Q06218,Q06554,Q06667,Q06685,Q06698,Q06817,Q06892,Q07478,Q07844,Q07845,Q07986,Q08204,Q08217,Q08220,Q08224,Q08234,Q08562,Q08645,Q08685,Q08732,Q08773,Q08965,Q08972,Q12003,Q12019,Q12055,Q12059,Q12084,Q12093,Q12099,Q12100,Q12109,Q12112,Q12152,Q12154,Q12196,Q12236,Q12246,Q12263,Q12265,Q12267,Q12273,Q12298,Q12386,Q12389,Q12414,Q12429,Q12464,Q12490,Q12491,Q12494,Q12505,Q12674,Q12675,Q12676,Q12697,Q12749,Q99337
GO:0005525	p	GTP binding	27/1159	33/1159	0.513	1.32e+03	1.16e+03	1.29e+03	n.a.	P01120,P01123,P02994,P05453,P07560,P11076,P18562,P20424,P21576,P25039,P32324,P32457,P32468,P32939,P36018,P38116,P38219,P38431,P39730,P40010,P41940,P53598,P53742,P80210,Q02892,Q08965,Q99287	P01119,P01120,P01123,P02557,P02992,P02994,P05453,P06780,P06781,P07560,P08539,P09733,P09734,P10823,P11076,P13856,P18562,P19073,P19146,P20424,P20606,P21576,P25038,P25039,P25342,P25378,P32266,P32324,P32457,P32458,P32468,P32481,P32769,P32835,P32836,P32916,P32939,P36017,P36018,P36048,P36057,P38066,P38116,P38146,P38219,P38297,P38431,P38555,P38746,P38860,P38987,P39677,P39722,P39729,P39730,P40010,P40994,P41940,P42942,P47122,P47136,P48559,P51601,P51996,P53145,P53215,P53290,P53295,P53378,P53598,P53742,P53879,P53893,P54861,P80210,Q00245,Q00246,Q00582,Q01159,Q02804,Q02892,Q03151,Q06543,Q07657,Q08491,Q08622,Q08726,Q08965,Q99260,Q99287
GO:0005527	p	macrolide binding	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P38911,Q06205	P20081,P38911,Q06205
GO:0005528	p	FK506 binding	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38911	P32472,P38911
GO:0005543	e	phospholipid binding	5/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P14907,P29547,P39705,Q03790,Q05166	P14306,P14907,P29547,P32830,P33338,P38041,P39705,P39969,P53901,Q00402,Q03790,Q04412,Q04934,Q05166,Q12315
GO:0005575	p	cellular_component	19/1159	30/1159	0.148	381	371	372	n.a.	P00498,P0C5N3,P14742,P17423,P19358,P21965,P38197,P38625,P39002,P39959,P53075,Q02961,Q03792,Q04004,Q04223,Q04894,Q05812,Q05911,Q12314	A5Z2X5,O13585,P00498,P06174,P0C5N3,P12611,P14742,P15807,P17423,P19358,P21965,P22209,P22434,P23285,P23493,P25341,P25353,P25616,P25659,P28003,P32179,P32460,P32488,P32622,P33329,P33753,P34228,P34250,P34251,P35843,P36002,P36007,P36075,P36143,P38145,P38148,P38177,P38187,P38197,P38218,P38235,P38239,P38284,P38321,P38354,P38430,P38625,P38748,P38765,P38841,P38892,P38970,P39002,P39529,P39724,P39937,P39958,P39977,P39996,P40011,P40218,P40442,P40892,P40987,P41734,P42936,P43560,P43591,P43599,P43610,P43611,P43615,P43633,P46151,P46670,P47016,P47042,P47048,P47086,P47129,P47173,P48564,P50873,P52491,P53066,P53075,P53078,P53095,P53110,P53133,P53139,P53177,P53242,P53244,P53275,P53836,P53870,P53891,P53952,P53980,Q02202,Q02799,Q02831,Q02961,Q03049,Q03083,Q03162,Q03177,Q03306,Q03361,Q03508,Q03648,Q03649,Q03695,Q03722,Q03787,Q03792,Q03942,Q04033,Q04066,Q04081,Q04212,Q04223,Q04299,Q04406,Q04585,Q04638,Q04689,Q04894,Q05533,Q05812,Q05911,Q05924,Q06063,Q06170,Q06543,Q06821,Q07379,Q07454,Q07716,Q08206,Q08223,Q08226,Q08300,Q08693,Q12059,Q12100,Q12152,Q12198,Q12212,Q12244,Q12274,Q12314,Q12385,Q12395,Q2V2P1,Q2V2P4,Q2V2P7,Q3E772,Q3E776,Q3E784,Q3E793,Q3E795,Q3E7Z5,Q6Q595,Q86ZR7,Q8J0M4,Q8TGJ3,Q8TGU7,Q99210,Q99296,Q99312,Q99369
GO:0005576	p	extracellular region	6/1159	12/1159	0.236	608	582	592	n.a.	P10591,P10592,P31787,P32454,Q06350,Q12335	P00635,P00724,P01149,P10591,P10592,P15703,P20840,P22146,P23285,P23776,P28319,P29029,P31787,P32334,P32454,P32478,P32623,P35842,P36135,P38248,P38288,P38616,P39005,P42835,P53301,P53334,P53753,Q02933,Q03178,Q03655,Q03674,Q04951,Q06350,Q08193,Q08906,Q12127,Q12335,Q12355
GO:0005619	p	ascospore wall	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32457	P13130,P32457,P32458
GO:0005622	p	intracellular	5/1159	8/1159	0.58	1.49e+03	1.3e+03	1.46e+03	n.a.	P18562,P40040,P40581,Q03792,Q12751	P01119,P06776,P06781,P11972,P13856,P18562,P18898,P22434,P23748,P25378,P31381,P32464,P32477,P32794,P33300,P33734,P36150,P37297,P38146,P38163,P38986,P39011,P39926,P39928,P39945,P40040,P40581,P40988,P43556,P43570,P47048,P53832,P54867,Q03178,Q03264,Q03306,Q03516,Q03792,Q05788,Q07951,Q08220,Q08693,Q12245,Q12675,Q12751,Q3E784
GO:0005623	p	cell	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P21373	P21373,P33329,P35843,P38970,P40207,P43597,Q12209,Q12498
GO:0005628	p	prospore membrane	3/1159	4/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32457,Q03868,Q07878	P25342,P28319,P29465,P32457,P32458,P32867,P36126,P39926,P40989,P53604,Q07878,Q3E752
GO:0005634	e	nucleus	315/1159	222/1159	5.69e-06	0.0146	0.0146	0.0143	n.a.	O14467,P00445,P01120,P02406,P03871,P03872,P04147,P04802,P04807,P05759,P06169,P06634,P06778,P06786,P06843,P07245,P07248,P07260,P07262,P07278,P09798,P09938,P09959,P0C0W9,P0C2I9,P0CH08,P10591,P11632,P11633,P12383,P12887,P13393,P13574,P13712,P14164,P14682,P14832,P14922,P15019,P15700,P15873,P15992,P16649,P17106,P17157,P17442,P18412,P18480,P18888,P20050,P20134,P20449,P21243,P21269,P21957,P22035,P22082,P22134,P22141,P22147,P22217,P22515,P22936,P23293,P23615,P24783,P25357,P25374,P25451,P25502,P25555,P25582,P25694,P26321,P26793,P27692,P28004,P28707,P29055,P29295,P29311,P29547,P30822,P31378,P31383,P31539,P32342,P32379,P32380,P32389,P32432,P32447,P32521,P32565,P32591,P32597,P32776,P33203,P33297,P33298,P33299,P33399,P34161,P34219,P34730,P35169,P35189,P36036,P36047,P36053,P36136,P36421,P38074,P38086,P38121,P38140,P38157,P38198,P38205,P38255,P38281,P38282,P38333,P38351,P38624,P38630,P38687,P38768,P38777,P38793,P38801,P38803,P38804,P38806,P38828,P38833,P38845,P38850,P38858,P38859,P38879,P38883,P38996,P39015,P39520,P39521,P39705,P39715,P39744,P39927,P39956,P39959,P39979,P40002,P40007,P40010,P40019,P40024,P40069,P40078,P40081,P40106,P40151,P40160,P40161,P40202,P40316,P40317,P40327,P40348,P40466,P40489,P40505,P40506,P40517,P40535,P40553,P40562,P41277,P41696,P41813,P41814,P41920,P41921,P42073,P42938,P43579,P43583,P43588,P46947,P46957,P47006,P47019,P47037,P47047,P47119,P47120,P48510,P48570,P49723,P50104,P51979,P52488,P52553,P52910,P52918,P53040,P53044,P53063,P53064,P53072,P53082,P53114,P53165,P53184,P53261,P53297,P53313,P53438,P53549,P53551,P53552,P53617,P53628,P53725,P53742,P53833,P53909,P53927,P53940,P53946,P53981,P80428,P89105,Q00055,Q00416,Q01448,Q01454,Q01560,Q01574,Q01939,Q02046,Q02486,Q02642,Q02792,Q02821,Q02890,Q02908,Q03012,Q03063,Q03195,Q03330,Q03373,Q03434,Q03774,Q03833,Q03940,Q03973,Q04002,Q04170,Q04178,Q04347,Q04545,Q05123,Q05471,Q05515,Q05635,Q05905,Q05958,Q06053,Q06103,Q06178,Q06205,Q06287,Q06338,Q06449,Q06494,Q06505,Q06624,Q06629,Q06697,Q07551,Q07794,Q07953,Q08237,Q08421,Q08422,Q08647,Q08687,Q08887,Q08923,Q08925,Q08965,Q08972,Q08981,Q12018,Q12020,Q12080,Q12122,Q12136,Q12149,Q12156,Q12186,Q12211,Q12306,Q12363,Q12472,Q12495,Q12504,Q12513,Q12514,Q12754,Q2V2Q1,Q99216,Q99383	O13535,O13563,O14467,O43137,O60200,O94742,P00445,P00546,P00572,P01120,P02406,P03871,P03872,P04050,P04147,P04387,P04786,P04802,P04807,P04819,P04821,P05066,P05759,P05986,P06100,P06102,P06104,P06169,P06242,P06243,P06244,P06245,P06634,P06777,P06778,P06782,P06786,P06838,P06843,P06844,P07245,P07248,P07250,P07260,P07262,P07270,P07271,P07273,P07278,P07834,P07884,P08153,P08458,P08466,P08638,P09547,P09798,P09938,P09959,P0C0W9,P0C2I6,P0C2I9,P0C2J0,P0C2J1,P0CX14,P0CX63,P10591,P10862,P10961,P11433,P11632,P11633,P11745,P11792,P11938,P12383,P12753,P12887,P12904,P12954,P13045,P13259,P13393,P13483,P13574,P13712,P14164,P14680,P14681,P14682,P14724,P14736,P14832,P14922,P15019,P15315,P15700,P15873,P15992,P16467,P16649,P16892,P17106,P17119,P17157,P17442,P17883,P18480,P18494,P18888,P18961,P19880,P20134,P20433,P20449,P20457,P21192,P21242,P21243,P21269,P21372,P21657,P21827,P21957,P22035,P22082,P22134,P22141,P22147,P22149,P22202,P22204,P22216,P22217,P22336,P22470,P22515,P22696,P22803,P22936,P23293,P23503,P23615,P23638,P23639,P23724,P24276,P24279,P24309,P24482,P24583,P24783,P24813,P24814,P24868,P25043,P25293,P25294,P25298,P25332,P25357,P25364,P25367,P25374,P25451,P25502,P25555,P25569,P25576,P25582,P25637,P25638,P25644,P25655,P25694,P26321,P26570,P26793,P26798,P27515,P27692,P27705,P28004,P28519,P28707,P29055,P29295,P29311,P29469,P29496,P29547,P30656,P30657,P30665,P30771,P30822,P31115,P31378,P31380,P31383,P31539,P32179,P32325,P32333,P32337,P32338,P32342,P32347,P32350,P32354,P32379,P32380,P32432,P32447,P32479,P32480,P32485,P32505,P32521,P32523,P32526,P32565,P32566,P32579,P32588,P32591,P32597,P32598,P32607,P32626,P32642,P32656,P32776,P32783,P32788,P32790,P32805,P32829,P32835,P32836,P32896,P32917,P33203,P33297,P33298,P33299,P33301,P33308,P33324,P33334,P33399,P33400,P33412,P33419,P33748,P33749,P34072,P34078,P34087,P34161,P34219,P34221,P34223,P34228,P34233,P34234,P34253,P34730,P34758,P34909,P35169,P35182,P35189,P35210,P35728,P35732,P36024,P36036,P36037,P36047,P36053,P36069,P36077,P36088,P36094,P36097,P36106,P36119,P36126,P36136,P36146,P36159,P36161,P36168,P36421,P38074,P38086,P38111,P38121,P38132,P38147,P38148,P38149,P38151,P38165,P38170,P38193,P38198,P38205,P38207,P38208,P38222,P38237,P38251,P38255,P38262,P38281,P38319,P38326,P38333,P38348,P38351,P38439,P38624,P38628,P38629,P38630,P38634,P38687,P38688,P38691,P38710,P38715,P38716,P38737,P38741,P38749,P38764,P38768,P38772,P38777,P38786,P38793,P38795,P38801,P38803,P38804,P38809,P38811,P38828,P38833,P38837,P38845,P38850,P38852,P38858,P38859,P38863,P38874,P38877,P38879,P38883,P38889,P38903,P38904,P38922,P38956,P38985,P38994,P38996,P39008,P39009,P39014,P39015,P39081,P39101,P39104,P39113,P39520,P39521,P39529,P39683,P39705,P39708,P39713,P39715,P39735,P39744,P39927,P39933,P39940,P39946,P39956,P39962,P39979,P39984,P39988,P39995,P39998,P40002,P40007,P40010,P40019,P40024,P40032,P40037,P40038,P40048,P40051,P40059,P40069,P40078,P40081,P40084,P40106,P40151,P40160,P40161,P40186,P40202,P40208,P40302,P40303,P40314,P40317,P40327,P40339,P40340,P40348,P40359,P40368,P40395,P40454,P40459,P40466,P40467,P40469,P40481,P40484,P40486,P40489,P40492,P40498,P40505,P40506,P40517,P40522,P40535,P40537,P40541,P40553,P40554,P40555,P40562,P40577,P40578,P40956,P40957,P40959,P40962,P40971,P41277,P41696,P41813,P41814,P41910,P41920,P41921,P42073,P42842,P42935,P42937,P42938,P42944,P43124,P43554,P43558,P43563,P43565,P43569,P43579,P43582,P43583,P43587,P43588,P43589,P43610,P43619,P46676,P46677,P46683,P46947,P46957,P46959,P46962,P46970,P46974,P46995,P46997,P47006,P47017,P47019,P47024,P47037,P47047,P47050,P47076,P47085,P47093,P47096,P47098,P47100,P47112,P47116,P47119,P47120,P47123,P47138,P47164,P47168,P47171,P48412,P48510,P48562,P48567,P48570,P48581,P49435,P49723,P49775,P49957,P50086,P50278,P50623,P52286,P52488,P52490,P52553,P52892,P52910,P52918,P52920,P52923,P53040,P53043,P53044,P53060,P53063,P53064,P53067,P53072,P53076,P53080,P53082,P53091,P53101,P53107,P53111,P53114,P53118,P53152,P53155,P53165,P53172,P53184,P53196,P53204,P53218,P53238,P53246,P53255,P53261,P53277,P53280,P53281,P53289,P53290,P53297,P53303,P53313,P53315,P53317,P53323,P53331,P53332,P53378,P53397,P53438,P53538,P53540,P53549,P53550,P53551,P53552,P53615,P53617,P53628,P53632,P53686,P53720,P53725,P53727,P53738,P53742,P53829,P53833,P53834,P53836,P53839,P53840,P53846,P53847,P53853,P53859,P53866,P53867,P53874,P53892,P53894,P53897,P53899,P53909,P53919,P53920,P53927,P53939,P53940,P53942,P53946,P53962,P53968,P53971,P53972,P53981,P54000,P54730,P54785,P54786,P54860,P80428,P89105,Q00055,Q00362,Q00416,Q00539,Q00578,Q00582,Q00772,Q00816,Q01159,Q01448,Q01454,Q01560,Q01574,Q01722,Q01939,Q02046,Q02100,Q02256,Q02260,Q02486,Q02574,Q02606,Q02642,Q02732,Q02773,Q02792,Q02796,Q02821,Q02890,Q02908,Q02932,Q02959,Q03010,Q03012,Q03063,Q03125,Q03195,Q03213,Q03254,Q03262,Q03264,Q03305,Q03330,Q03373,Q03434,Q03466,Q03497,Q03503,Q03533,Q03631,Q03677,Q03705,Q03771,Q03772,Q03774,Q03796,Q03833,Q03835,Q03862,Q03920,Q03940,Q03941,Q03957,Q03973,Q04002,Q04048,Q04049,Q04062,Q04087,Q04089,Q04119,Q04170,Q04175,Q04178,Q04179,Q04214,Q04264,Q04341,Q04347,Q04408,Q04430,Q04511,Q04545,Q04670,Q04739,Q04781,Q04847,Q04867,Q04964,Q05123,Q05515,Q05541,Q05549,Q05583,Q05635,Q05672,Q05854,Q05905,Q05934,Q05937,Q05949,Q05958,Q05979,Q06053,Q06102,Q06103,Q06132,Q06152,Q06178,Q06188,Q06205,Q06211,Q06287,Q06338,Q06340,Q06449,Q06489,Q06494,Q06505,Q06512,Q06549,Q06554,Q06608,Q06623,Q06624,Q06629,Q06630,Q06667,Q06672,Q06682,Q06697,Q06706,Q06891,Q07362,Q07395,Q07442,Q07508,Q07532,Q07551,Q07589,Q07688,Q07794,Q07844,Q07896,Q07897,Q07913,Q07923,Q07938,Q07953,Q08004,Q08202,Q08204,Q08231,Q08237,Q08273,Q08421,Q08422,Q08444,Q08471,Q08562,Q08601,Q08647,Q08687,Q08773,Q08831,Q08887,Q08904,Q08923,Q08925,Q08961,Q08962,Q08965,Q08966,Q08972,Q08977,Q08985,Q10740,Q12009,Q12018,Q12019,Q12020,Q12033,Q12040,Q12045,Q12049,Q12050,Q12055,Q12068,Q12080,Q12084,Q12090,Q12094,Q12098,Q12112,Q12122,Q12124,Q12132,Q12136,Q12139,Q12149,Q12151,Q12156,Q12158,Q12179,Q12180,Q12186,Q12196,Q12199,Q12206,Q12211,Q12224,Q12236,Q12242,Q12244,Q12259,Q12272,Q12273,Q12275,Q12285,Q12291,Q12306,Q12338,Q12341,Q12354,Q12363,Q12373,Q12383,Q12386,Q12400,Q12406,Q12414,Q12416,Q12420,Q12427,Q12461,Q12464,Q12486,Q12490,Q12491,Q12493,Q12495,Q12504,Q12505,Q12513,Q12514,Q12517,Q12522,Q12523,Q12530,Q12734,Q12749,Q12753,Q12754,Q3E747,Q3E764,Q3E7B7,Q3E7C1,Q3E7Y6,Q3E846,Q92317,Q96VH4,Q99189,Q99216,Q99222,Q99288,Q99321,Q99337,Q99383,Q9P305,Q9URQ5
GO:0005635	e	nuclear envelope	13/1159	8/1159	0.381	981	907	957	n.a.	P07261,P12684,P15565,P21957,P33331,P38121,P40075,P40457,Q02455,Q02724,Q03281,Q03532,Q03707	P12683,P12684,P13259,P15565,P20457,P21957,P25651,P32336,P32807,P33307,P33331,P33767,P35845,P38121,P38349,P38723,P38770,P38797,P38881,P39547,P40075,P40318,P40457,P40548,P47069,P53159,Q01722,Q02455,Q02724,Q03281,Q03532,Q03707,Q06616,Q08231,Q08926,Q12451,Q12745
GO:0005637	p	nuclear inner membrane	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P14906,P15565	P09880,P14906,P15565,P32584,P40318,P47154,P53983,P54074
GO:0005639	e	integral component of nuclear inner membrane	2/1159	0/1159	0.5	1.29e+03	1.17e+03	1.25e+03	n.a.	Q03281,Q03707	
GO:0005643	p	nuclear pore	11/1159	11/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P14907,P20449,P20676,P39705,P40069,P40517,P49687,Q02647,Q02724,Q03790,Q05166	P06704,P14907,P20449,P20676,P22219,P22543,P32500,P32767,P34077,P34232,P35729,P36161,P38181,P38217,P39685,P39705,P40064,P40066,P40069,P40368,P40477,P40517,P40957,P40958,P46673,P46674,P47054,P48837,P49686,P49687,P52593,P52891,P53011,P53067,Q02199,Q02629,Q02630,Q02647,Q02724,Q02932,Q03760,Q03790,Q04175,Q04839,Q05166,Q06142,Q08231,Q12144,Q12164,Q12315,Q12445,Q12453,Q6WNK7,Q99257
GO:0005654	e	nucleoplasm	26/1159	18/1159	0.287	738	699	719	n.a.	P13393,P13574,P17890,P21538,P21957,P25441,P26793,P29056,P29295,P29468,P33201,P33399,P35194,P38803,P38883,P38996,P40457,P46678,P53261,P53742,Q02455,Q02555,Q02908,Q04660,Q08746,Q12080	P04051,P04786,P07703,P12753,P13393,P13574,P16370,P17890,P20434,P20435,P20436,P21538,P21957,P22139,P22276,P24279,P25359,P25441,P25808,P26793,P28000,P29056,P29295,P29468,P29469,P29496,P30665,P32349,P32367,P32829,P32910,P33201,P33301,P33339,P33399,P34111,P35194,P35718,P38132,P38803,P38861,P38874,P38883,P38996,P39933,P40422,P40457,P40486,P42935,P46678,P46962,P46963,P47076,P53091,P53261,P53317,P53335,P53742,P53877,P53919,Q02455,Q02555,Q02884,Q02908,Q03862,Q03957,Q04307,Q04660,Q04868,Q06706,Q07896,Q08746,Q08932,Q12019,Q12024,Q12080,Q12464,Q6WNK7
GO:0005655	e	nucleolar ribonuclease P complex	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P38336,P41812,P53833	P28005,P38208,P38291,P38336,P38786,P41812,P53218,P53833
GO:0005656	p	nuclear pre-replicative complex	1/1159	2/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32833	P24279,P29469,P29496,P30665,P32833,P38132,P38826,P47112,P50874,P53091,P53877,P54790,P54791,Q07896
GO:0005657	e	replication fork	5/1159	1/1159	0.218	562	543	548	n.a.	P13382,P15436,P15873,P21951,Q00416	P04819,P13382,P15436,P15873,P21951,P32354,P38766,P47027,Q00416,Q04049
GO:0005658	e	alpha DNA polymerase:primase complex	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P13382,P32558,P38121	P10363,P13382,P20457,P32558,P34243,P38121,Q04636
GO:0005663	e	DNA replication factor C complex	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38630,P40348	P38251,P38629,P38630,P40339,P40348
GO:0005664	p	nuclear origin of replication recognition complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32833	P32833,P38826,P50874,P54790,P54791
GO:0005666	p	DNA-directed RNA polymerase III complex	2/1159	5/1159	0.452	1.16e+03	1.07e+03	1.14e+03	n.a.	P17890,P25441	P04051,P07703,P17890,P20434,P20435,P20436,P22139,P22276,P25441,P28000,P32349,P32910,P35718,P36121,P40422,P47076,Q04307
GO:0005669	e	transcription factor TFIID complex	10/1159	2/1159	0.0381	98.1	97	95.6	n.a.	P13393,P23255,P35189,P38129,P50105,P53040,Q03750,Q03761,Q04226,Q05021	P13393,P23255,P35189,P38129,P46677,P50105,P53040,Q03750,Q03761,Q04226,Q05021,Q05027,Q12030,Q12297
GO:0005671	e	Ada2/Gcn5/Ada3 transcription activator complex	6/1159	1/1159	0.124	320	313	312	n.a.	P25554,P32494,Q02336,Q03330,Q12060,Q12433	P25554,P32494,Q02336,Q03330,Q12060,Q12433
GO:0005674	e	transcription factor TFIIF complex	3/1159	1/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P35189,P41895,P41896	P35189,P41895,P41896
GO:0005675	e	holo TFIIH complex	2/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P32776,Q04673	P06242,P06839,P32776,P37366,Q00578,Q02939,Q03290,Q04673,Q08816,Q12004,Q3E7C1
GO:0005680	p	anaphase-promoting complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P09798	P09798,P14724,P38042,P40577,P53068,P53886,Q04601,Q08683,Q12107,Q12440
